------- test 1 [length 4 bytes] ----
1
3
------- test 2 [length 24 bytes] ----
10
1 2 3 4 5 6 7 8 9 10
------- test 3 [length 39 bytes] ----
12
68 69 54 64 68 64 70 67
78 62 98 87
------- test 4 [length 56 bytes] ----
20
1 16 17 18 20 10 22 22 8 17
26 14 3 24 8 1 2 21 2 17
------- test 5 [length 1419 bytes] ----
500
26 8 50 59 2 43 24 2 28 38
42 6 47 36 59 59 15 22 17 53
3 55 8 58 12 56 2 38 60 29
1 25 36 51 23 37 33 47 39 1
24 20 6 11 56 4 10 10 26 27
3 28 21 11 26 33 6 27 10 6
55 11 30 30 1 53 6 34 39 45
35 3 4 40 13 60 44 23 10 9
49 12 37 9 22 2 42 28 28 52
33 22 2 2 52 3 55 57 37 33
41 11 36 45 51 48 45 34 11 54
43 59 6 20 8 28 22 50 55 49
41 27 11 43 29 2 46 24 59 23
56 40 33 31 25 24 19 9 57 29
3 40 28 8 59 36 35 20 25 30
9 5 56 20 48 25 22 33 48 21
55 44 60 28 15 25 51 33 33 48
2 36 28 29 43 27 4 18 46 29
47 55 34 42 15 21 7 37 54 55
57 49 38 57 17 53 21 8 25 54
55 26 29 22 55 12 48 59 29 34
28 15 29 1 57 44 22 3 20 15
58 16 4 36 12 20 28 33 27 53
26 22 19 55 44 13 6 32 12 34
5 39 49 34 40 45 17 1 48 36
15 45 52 19 21 4 38 48 36 4
41 2 25 59 56 8 12 2 39 24
35 44 2 23 18 42 8 35 42 55
11 57 40 2 15 60 5 52 48 40
56 28 42 21 27 37 29 38 38 8
1 13 51 3 36 9 44 43 43 25
37 53 22 17 55 36 16 60 28 4
40 24 32 21 44 58 57 12 35 35
19 36 47 10 38 22 19 21 5 2
46 42 55 7 58 49 43 13 48 10
17 27 33 48 47 17 45 44 29 19
18 47 54 5 57 32 27 16 52 31
17 38 12 11 44 9 59 27 22 47
36 38 14 9 25 60 25 9 44 53
28 1 40 22 6 37 53 32 53 45
2 9 23 14 20 7 23 19 33 44
5 9 22 18 17 46 18 42 55 1
35 23 2 15 45 7 51 38 38 44
23 40 52 45 53 11 51 15 29 23
59 34 31 20 52 48 6 9 29 60
9 4 23 11 18 7 17 9 44 54
52 6 33 44 50 26 55 41 41 24
3 39 57 34 59 48 21 4 57 50
3 6 54 26 16 11 32 32 20 16
26 12 21 59 55 11 25 49 51 5
------- test 6 [length 2538 bytes] ----
1000
13 1 12 17 19 11 3 5 13 18
13 20 9 18 5 9 9 2 4 4
2 13 6 6 1 4 4 4 11 20
14 3 1 6 20 20 16 2 4 9
20 17 8 8 14 13 16 3 15 19
6 16 12 12 2 13 15 5 16 5
5 10 7 5 15 6 4 11 8 8
20 7 4 7 14 17 20 9 20 14
8 6 9 20 17 10 12 11 15 8
15 19 18 2 4 13 8 8 4 15
15 3 1 18 10 15 15 9 3 14
2 11 19 10 10 16 20 2 6 15
9 1 13 7 2 17 19 10 4 2
4 18 5 5 16 14 20 10 2 2
4 3 13 3 13 3 18 13 4 4
7 13 4 20 19 6 16 18 15 19
19 19 17 4 4 12 17 3 2 18
5 6 1 17 8 13 19 6 5 3
10 11 15 13 10 14 19 5 11 13
4 10 12 20 13 15 12 9 17 13
7 2 18 7 19 6 19 18 12 4
20 1 14 15 13 4 8 11 9 19
4 12 8 15 12 1 10 3 10 7
16 16 8 14 2 6 19 1 3 10
4 3 10 18 17 3 1 5 14 9
3 17 1 11 12 12 12 1 15 1
8 10 16 15 3 18 1 2 18 3
12 2 6 1 19 2 4 19 7 18
8 10 14 8 20 6 19 11 7 14
11 14 4 7 9 7 4 9 8 2
11 19 3 17 20 2 18 3 20 5
20 7 14 14 15 13 20 14 4 6
7 15 20 10 2 8 16 6 16 3
7 7 2 10 3 1 11 1 4 11
5 4 17 18 18 11 11 17 4 14
3 11 9 3 20 10 10 16 15 6
19 2 12 20 12 15 1 2 15 5
12 20 8 9 17 6 20 8 2 4
2 5 14 10 7 14 20 17 10 15
2 8 16 14 8 7 9 9 9 3
13 1 3 1 9 19 6 9 7 8
12 8 13 6 17 20 20 17 16 9
11 18 17 7 12 5 14 20 13 2
3 6 2 5 7 11 4 12 19 10
20 11 17 12 16 14 11 15 11 6
3 1 4 19 8 15 4 1 14 16
2 16 2 3 20 8 14 4 20 12
13 19 2 10 10 17 3 20 12 14
6 14 14 9 13 1 4 16 1 17
12 3 13 14 6 13 2 19 16 1
10 9 19 12 18 8 8 1 8 19
14 14 13 8 2 6 9 6 2 9
2 14 12 15 8 17 7 9 15 3
9 5 11 7 16 9 15 4 9 3
3 3 16 15 10 18 1 18 3 3
7 5 16 18 19 3 14 6 11 9
8 20 13 19 6 8 7 1 11 16
3 13 18 19 8 8 16 9 6 19
11 12 3 7 10 2 9 4 8 20
12 16 19 4 14 5 12 1 6 3
17 9 15 14 7 3 2 3 11 7
1 2 19 4 8 8 6 17 11 13
16 2 9 15 6 2 20 17 3 6
19 19 14 14 13 1 17 14 3 7
20 4 8 19 8 16 6 14 12 16
7 8 18 15 2 3 16 2 20 19
7 19 17 1 13 9 1 9 2 4
16 2 7 4 20 15 19 6 8 10
1 14 17 18 9 19 1 5 20 20
3 7 19 19 7 11 7 7 19 9
10 15 11 17 18 10 11 16 15 19
6 16 13 2 14 1 20 14 5 20
14 8 6 12 6 13 3 13 19 2
1 9 16 11 5 13 1 16 8 16
14 14 11 7 15 5 8 15 19 12
15 12 20 1 4 5 13 7 17 11
8 18 19 3 8 4 15 9 19 3
4 13 16 15 19 11 19 6 5 17
18 19 9 17 19 13 2 12 19 18
2 6 16 1 8 4 5 2 12 3
5 16 15 20 10 14 10 9 19 15
6 17 13 14 14 12 7 15 4 5
13 6 11 8 6 18 11 11 20 3
13 4 18 8 4 8 1 13 16 20
7 1 17 20 15 10 12 2 4 15
7 16 20 17 4 6 14 14 16 14
16 9 17 14 16 20 1 17 13 17
17 19 17 13 19 12 3 10 14 6
5 20 2 4 16 6 10 10 20 5
3 16 14 20 9 9 20 9 6 12
5 3 11 2 16 9 14 18 19 7
4 3 7 6 6 2 11 15 11 10
20 14 5 13 13 14 2 12 3 8
3 7 10 14 9 6 2 3 3 20
10 7 2 16 12 8 18 3 3 8
13 3 2 18 15 14 11 17 6 13
4 8 20 14 1 9 19 3 11 2
2 1 8 4 16 20 12 13 3 14
1 15 16 2 12 11 16 3 7 1
15 11 9 15 5 10 3 3 12 14
------- test 7 [length 3045 bytes] ----
800
771 777 686 725 854 670 423 625 665 119
154 960 471 718 837 811 157 627 891 235
649 507 509 642 275 672 252 491 710 929
321 478 703 5 202 558 677 628 186 347
752 346 315 232 73 163 54 242 803 9
492 469 484 20 130 779 714 405 294 448
359 642 16 90 677 186 679 387 848 899
769 637 282 123 908 396 327 5 682 175
10 221 692 542 290 873 373 56 331 722
560 746 421 572 896 158 820 638 608 733
602 444 437 56 636 416 421 36 494 177
287 581 475 57 203 846 11 658 104 426
465 632 260 98 294 246 224 207 105 56
35 676 468 571 729 205 88 252 344 686
535 737 375 118 48 688 75 27 460 175
569 42 77 100 136 339 315 483 669 417
535 831 220 132 531 80 468 751 466 116
573 137 822 86 395 41 92 612 37 520
113 752 709 6 33 180 497 316 632 321
78 323 309 267 615 1 508 246 114 139
358 655 443 349 115 8 387 206 2 599
695 114 528 582 89 558 759 769 57 575
275 131 86 773 588 116 192 289 330 76
623 116 161 264 433 41 474 23 243 473
67 145 583 564 180 128 333 155 114 604
698 358 205 2 351 17 114 539 274 668
100 123 42 261 617 444 270 324 701 17
32 35 130 127 568 307 255 143 458 89
273 402 694 195 653 295 209 20 88 26
234 184 118 276 442 291 689 271 583 654
287 183 686 386 5 524 270 257 249 5
621 211 375 594 686 309 171 177 613 543
199 164 14 606 116 72 219 97 14 100
46 298 282 31 317 256 192 249 154 102
251 85 620 277 647 616 555 130 107 483
338 623 643 321 548 79 389 121 500 87
220 234 353 139 233 32 93 421 250 246
229 208 331 190 111 321 151 8 420 226
216 136 197 211 426 95 259 168 213 113
251 429 344 356 322 332 387 17 120 4
260 348 211 587 133 290 311 281 80 108
293 296 244 458 92 53 351 151 189 532
233 248 349 388 179 92 293 563 77 409
563 164 186 204 154 287 463 27 410 539
132 261 274 372 129 335 421 476 482 25
424 132 270 191 516 325 280 232 314 241
67 307 404 249 46 93 434 409 21 374
387 121 73 187 406 118 439 273 41 369
267 433 470 468 74 436 306 293 122 106
43 137 412 444 354 427 494 281 330 16
124 215 106 166 376 7 281 308 276 318
183 20 229 135 485 298 55 273 73 146
376 123 279 307 60 124 228 27 401 29
68 53 274 173 188 114 148 508 464 468
334 105 456 74 236 451 372 288 238 413
500 130 84 301 434 144 393 215 139 319
213 203 368 46 372 87 129 53 159 158
87 492 232 85 566 9 81 360 419 287
318 338 547 399 219 534 125 167 161 233
44 521 585 381 567 521 29 262 140 185
420 227 276 223 311 236 201 392 170 226
257 65 144 191 44 362 337 166 529 85
604 573 606 189 546 173 83 171 434 220
324 223 75 229 76 386 70 246 139 209
108 34 523 251 193 180 613 173 315 141
258 566 61 211 100 259 37 463 429 471
311 383 324 385 612 399 104 15 281 547
529 389 580 51 639 416 231 251 589 193
391 166 77 104 26 513 362 60 287 102
217 285 174 540 670 90 243 440 466 220
286 294 608 565 45 246 275 276 497 570
469 177 416 227 277 126 24 352 154 714
143 88 277 316 628 668 101 566 107 567
55 92 561 392 657 606 638 638 143 134
207 350 21 622 577 12 1 316 364 619
29 506 707 27 68 334 695 165 141 42
489 684 130 49 76 549 654 713 186 535
