------- test 1 [length 80 bytes] ----
7
-15 0 5 10
-5 8 20 25
15 -4 24 14
0 -6 16 4
2 15 10 22
30 10 36 20
34 0 40 16
------- test 2 [length 18 bytes] ----
2
0 0 4 4
0 4 4 8
------- test 3 [length 18 bytes] ----
2
0 0 4 4
1 1 4 4
------- test 4 [length 23 bytes] ----
2
0 0 10 10
5 -5 15 15
------- test 5 [length 18 bytes] ----
2
0 0 1 2
1 1 2 3
------- test 6 [length 725 bytes] ----
40
-1055 -1050 1060 1130
-990 -980 985 1060
-945 -935 925 1005
-905 -885 900 975
-875 -840 875 955
-855 -815 850 920
-835 -790 820 900
-815 -760 800 870
-800 -740 775 840
-775 -710 750 810
-755 -685 715 755
-730 -655 675 720
-700 -620 645 690
-675 -585 615 665
-655 -555 590 635
-630 -525 560 600
-605 -495 535 575
-590 -480 520 550
-570 -460 505 530
-555 -440 485 510
-535 -425 465 485
-520 -400 445 460
-495 -370 420 435
-470 -345 390 405
-450 -325 365 380
-430 -300 340 355
-405 -275 305 330
-380 -250 280 300
-355 -215 260 270
-330 -190 240 240
-305 -155 225 215
-285 -130 205 190
-265 -110 180 160
-245 -90 155 135
-220 -70 135 110
-190 -50 120 90
-160 -20 95 70
-140 0 85 40
-1080 -1075 1095 1160
-1110 -1105 1130 1200
------- test 7 [length 65945 bytes] ----
4900
-70 -70 -69 -69
-70 -68 -69 -67
-70 -66 -69 -65
-70 -64 -69 -63
-70 -62 -69 -61
-70 -60 -69 -59
-70 -58 -69 -57
-70 -56 -69 -55
-70 -54 -69 -53
-70 -52 -69 -51
-70 -50 -69 -49
-70 -48 -69 -47
-70 -46 -69 -45
-70 -44 -69 -43
-70 -42 -69 -41
-70 -40 -69 -39
-70 -38 -69 -37
-70 -36 -69 -35
-70 -34 -69 -33
-70 -32 -69 -31
-70 -30 -69 -29
-70 -28 -69 -27
-70 -26 -69 -25
-70 -24 -69 -23
-70 -22 -69 -21
-70 -20 -69 -19
-70 -18 -69 -17
-70 -16 -69 -15
-70 -14 -69 -13
-70 -12 -69 -11
-70 -10 -69 -9
-70 -8 -69 -7
-70 -6 -69 -5
-70 -4 -69 -3
-70 -2 -69 -1
-70 0 -69 1
-70 2 -69 3
-70 4 -69 5
-70 6 -69 7
-70 8 -69 9
-70 10 -69 11
-70 12 -69 13
-70 14 -69 15
-70 16 -69 17
-70 18 -69 19
-70 20 -69 21
-70 22 -69 23
-70 24 -69 25
-70 26 -69 27
-70 28 -69 29
-70 30 -69 31
-70 32 -69 33
-70 34 -69 35
-70 36 -69 37
-70 38 -69 39
-70 40 -69 41
-70 42 -69 43
-70 44 -69 45
-70 46 -69 47
-70 48 -69 49
-70 50 -69 51
-70 52 -69 53
-70 54 -69 55
-70 56 -69 57
-70 58 -69 59
-70 60 -69 61
-70 62 -69 63
-70 64 -69 65
-70 66 -69 67
